标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
过于喧嚣的孤独,博胡米尔.赫拉巴尔 / 2017 / 北京十月文艺出版社,8.8,https://book.douban.com/subject/26220767/,2021-08-15 21:32:56,4,,本书的背景是战后的60年代，我把他理解成一个在战争期间受到伤害的一个孤僻的人的心理独白吧，在昏暗的地下室里面寻找自己的love story,public
最好的告别,[美] 阿图·葛文德（Atul Gawande） / 2015 / 浙江人民出版社,9.0,https://book.douban.com/subject/26576861/,2021-08-02 09:31:53,5,"老龄化,养老,死亡","死亡时任何人无法避免的事情,随着自己的年龄越来越大,父母也一天天的变老,准备好了吗?",public
Redis设计与实现,黄健宏 / 2014 / 机械工业出版社,8.7,https://book.douban.com/subject/25900156/,2021-07-27 11:43:59,4,Redis,讲原理的书，配合极客时间 专栏食用更佳,public
恶意,[日] 东野圭吾 / 2016 / 南海出版公司,8.7,https://book.douban.com/subject/26877752/,2021-06-29 00:10:39,5,"悬疑,东野圭吾,日本推理",,public
球状闪电,刘慈欣 / 2005 / 四川科学技术出版社,8.7,https://book.douban.com/subject/1192090/,2021-06-29 00:09:27,,"球状闪电,科幻",,public
情书,[日] 岩井俊二 / 2004 / 天津人民出版社,8.6,https://book.douban.com/subject/1080370/,2021-06-29 00:09:00,5,"日本文学,爱情",,public
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 / 2011 / 中信出版社,8.7,https://book.douban.com/subject/6798611/,2021-06-29 00:08:48,4,史蒂夫·乔布斯,,public
浪潮之巅,吴军 / 2011 / 电子工业出版社,9.0,https://book.douban.com/subject/6709783/,2021-06-29 00:07:54,5,"浪潮之巅,计算机",,public
看见,柴静 / 2013 / 广西师范大学出版社,8.8,https://book.douban.com/subject/20427187/,2021-06-29 00:07:30,4,纪实文学,,public
白鹿原,陈忠实 / 2012 / 人民文学出版社,9.2,https://book.douban.com/subject/10564071/,2021-06-29 00:06:56,4,"长篇小说,茅盾文学奖",,public
